Timestamp,MovingAverage
2023-11-26 23:01:31,19061.933333333334
2023-11-26 23:01:32,19062.75
2023-11-26 23:01:33,19063.533333333333
2023-11-26 23:01:34,19064.600000000002
2023-11-26 23:01:35,19065.100000000002
2023-11-26 23:01:36,19066.016666666666
2023-11-26 23:01:37,19067.516666666666
2023-11-26 23:01:38,19069.683333333334
2023-11-26 23:01:39,19071.166666666668
2023-11-26 23:01:40,19072.35
2023-11-26 23:01:41,19072.733333333334
2023-11-26 23:01:42,19073.366666666665
2023-11-26 23:01:43,19073.95
2023-11-26 23:01:44,19074.5
2023-11-26 23:01:45,19074.4
2023-11-26 23:01:46,19074.516666666666
2023-11-26 23:01:47,19074.95
2023-11-26 23:01:48,19075.433333333334
2023-11-26 23:01:49,19076.066666666666
2023-11-26 23:01:50,19077.016666666666
2023-11-26 23:01:51,19077.0
2023-11-26 23:01:52,19076.43333333333
2023-11-26 23:01:53,19074.566666666666
2023-11-26 23:01:54,19073.75
2023-11-26 23:01:55,19073.383333333335
2023-11-26 23:01:56,19073.966666666667
2023-11-26 23:01:57,19074.316666666666
2023-11-26 23:01:58,19073.816666666666
2023-11-26 23:01:59,19073.633333333335
2023-11-26 23:02:00,19074.666666666668
2023-11-26 23:02:01,19076.133333333335
2023-11-26 23:02:02,19076.516666666666
2023-11-26 23:02:03,19075.85
2023-11-26 23:02:04,19075.333333333332
2023-11-26 23:02:05,19075.216666666667
2023-11-26 23:02:06,19074.666666666668
2023-11-26 23:02:07,19073.15
2023-11-26 23:02:08,19070.85
2023-11-26 23:02:09,19070.033333333333
2023-11-26 23:02:10,19070.3
2023-11-26 23:02:11,19072.016666666666
2023-11-26 23:02:12,19071.8
2023-11-26 23:02:13,19071.533333333333
2023-11-26 23:02:14,19071.333333333332
2023-11-26 23:02:15,19071.55
2023-11-26 23:02:16,19071.433333333334
2023-11-26 23:02:17,19071.433333333334
2023-11-26 23:02:18,19071.683333333334
2023-11-26 23:02:19,19072.833333333336
2023-11-26 23:02:20,19073.183333333334
2023-11-26 23:02:21,19074.65
2023-11-26 23:02:22,19075.0
2023-11-26 23:02:23,19075.38333333333
2023-11-26 23:02:24,19075.38333333333
2023-11-26 23:02:25,19075.783333333333
2023-11-26 23:02:26,19075.95
2023-11-26 23:02:27,19075.416666666668
2023-11-26 23:02:28,19074.3
